id,name,description,price,category,restaurant_id,is_active,created_at,updated_at
1,Hamburguesa Clásica,"Carne, queso, lechuga y tomate",5.99,Comida rápida,7,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
2,Papas Fritas,Papas crujientes con sal,2.49,Acompañamientos,9,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
3,Coca-Cola,Bebida gaseosa 355ml,1.99,Bebidas,11,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
4,Pizza Margarita,"Salsa de tomate, queso mozzarella y albahaca",7.99,Italiana,11,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
5,Ensalada César,"Lechuga romana, crutones, queso parmesano",4.99,Ensaladas,6,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
6,Jugo Natural de Naranja,Exprimido al momento,2.79,Bebidas,1,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
7,Taco al Pastor,"Cerdo marinado, piña y cebolla",3.99,Mexicana,4,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
8,Quesadilla de Pollo,Tortilla con queso y pollo,4.49,Mexicana,19,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
9,Agua Mineral,Botella 500ml,1.29,Bebidas,5,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
10,Sushi Roll,"Arroz, alga, salmón y aguacate",8.99,Japonesa,19,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
11,Tempura de Camarón,Camarones empanizados y fritos,6.99,Japonesa,15,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
12,Ramen,Sopa de fideos con cerdo y huevo,7.49,Japonesa,19,true,Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 19:39:10 GMT+0000 (Coordinated Universal Time)
